2019-11-03 21:52:15,206 [main] INFO  [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] PostProcessorRegistrationDelegate.java:330 - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$c273b3ef] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-03 21:52:21,370 [main] INFO  [o.s.cloud.netflix.eureka.InstanceInfoFactory] InstanceInfoFactory.java:72 - Setting initial instance status as: STARTING
2019-11-03 21:52:21,441 [main] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:365 - Initializing Eureka in region us-east-1
2019-11-03 21:52:21,452 [main] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:368 - Client configured to neither register nor query for data.
2019-11-03 21:52:21,467 [main] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:381 - Discovery Client initialized at timestamp 1572789141466 with initial instances count: 0
2019-11-03 21:52:21,540 [main] INFO  [com.netflix.eureka.DefaultEurekaServerContext] DefaultEurekaServerContext.java:63 - Initializing ...
2019-11-03 21:52:21,542 [main] INFO  [com.netflix.eureka.cluster.PeerEurekaNodes] PeerEurekaNodes.java:187 - Adding new peer nodes [http://vole-eureka:-1/eureka/]
2019-11-03 21:52:22,428 [main] INFO  [c.n.discovery.provider.DiscoveryJerseyProvider] DiscoveryJerseyProvider.java:70 - Using JSON encoding codec LegacyJacksonJson
2019-11-03 21:52:22,430 [main] INFO  [c.n.discovery.provider.DiscoveryJerseyProvider] DiscoveryJerseyProvider.java:71 - Using JSON decoding codec LegacyJacksonJson
2019-11-03 21:52:22,431 [main] INFO  [c.n.discovery.provider.DiscoveryJerseyProvider] DiscoveryJerseyProvider.java:80 - Using XML encoding codec XStreamXml
2019-11-03 21:52:22,432 [main] INFO  [c.n.discovery.provider.DiscoveryJerseyProvider] DiscoveryJerseyProvider.java:81 - Using XML decoding codec XStreamXml
2019-11-03 21:52:22,652 [main] INFO  [com.netflix.eureka.cluster.PeerEurekaNodes] PeerEurekaNodes.java:109 - Replica node URL:  http://vole-eureka:-1/eureka/
2019-11-03 21:52:22,660 [main] INFO  [c.netflix.eureka.registry.AbstractInstanceRegistry] AbstractInstanceRegistry.java:151 - Finished initializing remote region registries. All known remote regions: []
2019-11-03 21:52:22,661 [main] INFO  [com.netflix.eureka.DefaultEurekaServerContext] DefaultEurekaServerContext.java:70 - Initialized
2019-11-03 21:52:22,893 [main] INFO  [o.s.b.actuate.endpoint.web.EndpointLinksResolver] EndpointLinksResolver.java:58 - Exposing 2 endpoint(s) beneath base path '/actuator'
2019-11-03 21:52:22,968 [Thread-11] INFO  [o.s.c.netflix.eureka.server.EurekaServerBootstrap] EurekaServerBootstrap.java:110 - Setting the eureka configuration..
2019-11-03 21:52:22,969 [Thread-11] INFO  [o.s.c.netflix.eureka.server.EurekaServerBootstrap] EurekaServerBootstrap.java:115 - Eureka data center value eureka.datacenter is not set, defaulting to default
2019-11-03 21:52:22,969 [Thread-11] INFO  [o.s.c.netflix.eureka.server.EurekaServerBootstrap] EurekaServerBootstrap.java:129 - Eureka environment value eureka.environment is not set, defaulting to test
2019-11-03 21:52:22,987 [main] INFO  [com.flyer.xcloud.eureka.VoleEurekaApplicationTests] StartupInfoLogger.java:61 - Started VoleEurekaApplicationTests in 9.309 seconds (JVM running for 10.8)
2019-11-03 21:52:23,014 [Thread-11] INFO  [o.s.c.netflix.eureka.server.EurekaServerBootstrap] EurekaServerBootstrap.java:188 - isAws returned false
2019-11-03 21:52:23,015 [Thread-11] INFO  [o.s.c.netflix.eureka.server.EurekaServerBootstrap] EurekaServerBootstrap.java:153 - Initialized server context
2019-11-03 21:52:23,015 [Thread-11] INFO  [c.n.eureka.registry.PeerAwareInstanceRegistryImpl] PeerAwareInstanceRegistryImpl.java:241 - Got 1 instances from neighboring DS node
2019-11-03 21:52:23,015 [Thread-11] INFO  [c.n.eureka.registry.PeerAwareInstanceRegistryImpl] PeerAwareInstanceRegistryImpl.java:242 - Renew threshold is: 1
2019-11-03 21:52:23,016 [Thread-11] INFO  [c.n.eureka.registry.PeerAwareInstanceRegistryImpl] PeerAwareInstanceRegistryImpl.java:253 - Changing status to UP
2019-11-03 21:52:23,028 [Thread-11] INFO  [o.s.c.n.e.s.EurekaServerInitializerConfiguration] EurekaServerInitializerConfiguration.java:72 - Started Eureka Server
2019-11-03 21:52:23,474 [SpringContextShutdownHook] INFO  [o.s.c.n.e.serviceregistry.EurekaServiceRegistry] EurekaServiceRegistry.java:65 - Unregistering application VOLE-EUREKA-SERVER with eureka with status DOWN
2019-11-03 21:52:23,477 [SpringContextShutdownHook] INFO  [com.netflix.eureka.DefaultEurekaServerContext] DefaultEurekaServerContext.java:76 - Shutting down ...
2019-11-03 21:52:23,480 [SpringContextShutdownHook] INFO  [com.netflix.eureka.DefaultEurekaServerContext] DefaultEurekaServerContext.java:79 - Shut down
2019-11-03 21:52:23,485 [SpringContextShutdownHook] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:208 - Shutting down ExecutorService 'applicationTaskExecutor'
2019-11-03 21:52:23,487 [SpringContextShutdownHook] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:906 - Shutting down DiscoveryClient ...
2019-11-03 21:52:23,488 [SpringContextShutdownHook] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:929 - Completed shut down of DiscoveryClient
2019-11-16 12:53:28,029 [main] INFO  [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] PostProcessorRegistrationDelegate.java:330 - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$f1f14fba] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-16 12:53:28,717 [main] INFO  [com.flyer.xcloud.eureka.VoleEurekaApplicationTests] SpringApplication.java:651 - No active profile set, falling back to default profiles: default
2019-11-16 12:53:30,028 [main] WARN  [o.springframework.boot.actuate.endpoint.EndpointId] EndpointId.java:155 - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2019-11-16 12:53:30,339 [main] INFO  [o.springframework.cloud.context.scope.GenericScope] GenericScope.java:295 - BeanFactory id=95090313-24c0-3d14-b754-44025eabc478
2019-11-16 12:53:30,838 [main] INFO  [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] PostProcessorRegistrationDelegate.java:330 - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$f1f14fba] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-16 12:53:31,184 [main] WARN  [com.netflix.config.sources.URLConfigurationSource] URLConfigurationSource.java:121 - No URLs will be polled as dynamic configuration sources.
2019-11-16 12:53:31,185 [main] INFO  [com.netflix.config.sources.URLConfigurationSource] URLConfigurationSource.java:122 - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-11-16 12:53:31,194 [main] WARN  [com.netflix.config.sources.URLConfigurationSource] URLConfigurationSource.java:121 - No URLs will be polled as dynamic configuration sources.
2019-11-16 12:53:31,194 [main] INFO  [com.netflix.config.sources.URLConfigurationSource] URLConfigurationSource.java:122 - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-11-16 12:53:32,105 [main] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:171 - Initializing ExecutorService 'applicationTaskExecutor'
2019-11-16 12:53:34,747 [main] WARN  [o.s.c.l.c.BlockingLoadBalancerClientAutoConfiguration$BlockingLoadBalancerClientRibbonWarnLogger] BlockingLoadBalancerClientAutoConfiguration.java:104 - You already have RibbonLoadBalancerClient on your classpath. It will be used by default. As Spring Cloud Ribbon is in maintenance mode. We recommend switching to BlockingLoadBalancerClient instead. In order to use it, set the value of `spring.cloud.loadbalancer.ribbon.enabled` to `false` or remove spring-cloud-starter-netflix-ribbon from your project.
2019-11-16 12:53:35,590 [main] INFO  [o.s.cloud.netflix.eureka.InstanceInfoFactory] InstanceInfoFactory.java:72 - Setting initial instance status as: STARTING
2019-11-16 12:53:35,696 [main] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:365 - Initializing Eureka in region us-east-1
2019-11-16 12:53:35,708 [main] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:368 - Client configured to neither register nor query for data.
2019-11-16 12:53:35,729 [main] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:381 - Discovery Client initialized at timestamp 1573880015728 with initial instances count: 0
2019-11-16 12:53:35,852 [main] INFO  [com.netflix.eureka.DefaultEurekaServerContext] DefaultEurekaServerContext.java:63 - Initializing ...
2019-11-16 12:53:35,856 [main] INFO  [com.netflix.eureka.cluster.PeerEurekaNodes] PeerEurekaNodes.java:187 - Adding new peer nodes [http://vole-eureka:-1/eureka/]
2019-11-16 12:53:36,806 [main] INFO  [c.n.discovery.provider.DiscoveryJerseyProvider] DiscoveryJerseyProvider.java:70 - Using JSON encoding codec LegacyJacksonJson
2019-11-16 12:53:36,807 [main] INFO  [c.n.discovery.provider.DiscoveryJerseyProvider] DiscoveryJerseyProvider.java:71 - Using JSON decoding codec LegacyJacksonJson
2019-11-16 12:53:36,807 [main] INFO  [c.n.discovery.provider.DiscoveryJerseyProvider] DiscoveryJerseyProvider.java:80 - Using XML encoding codec XStreamXml
2019-11-16 12:53:36,807 [main] INFO  [c.n.discovery.provider.DiscoveryJerseyProvider] DiscoveryJerseyProvider.java:81 - Using XML decoding codec XStreamXml
2019-11-16 12:53:37,058 [main] INFO  [com.netflix.eureka.cluster.PeerEurekaNodes] PeerEurekaNodes.java:109 - Replica node URL:  http://vole-eureka:-1/eureka/
2019-11-16 12:53:37,083 [main] INFO  [c.netflix.eureka.registry.AbstractInstanceRegistry] AbstractInstanceRegistry.java:151 - Finished initializing remote region registries. All known remote regions: []
2019-11-16 12:53:37,084 [main] INFO  [com.netflix.eureka.DefaultEurekaServerContext] DefaultEurekaServerContext.java:70 - Initialized
2019-11-16 12:53:37,349 [main] INFO  [o.s.b.actuate.endpoint.web.EndpointLinksResolver] EndpointLinksResolver.java:58 - Exposing 2 endpoint(s) beneath base path '/actuator'
2019-11-16 12:53:37,432 [Thread-11] INFO  [o.s.c.netflix.eureka.server.EurekaServerBootstrap] EurekaServerBootstrap.java:110 - Setting the eureka configuration..
2019-11-16 12:53:37,434 [Thread-11] INFO  [o.s.c.netflix.eureka.server.EurekaServerBootstrap] EurekaServerBootstrap.java:115 - Eureka data center value eureka.datacenter is not set, defaulting to default
2019-11-16 12:53:37,435 [Thread-11] INFO  [o.s.c.netflix.eureka.server.EurekaServerBootstrap] EurekaServerBootstrap.java:129 - Eureka environment value eureka.environment is not set, defaulting to test
2019-11-16 12:53:37,452 [main] INFO  [com.flyer.xcloud.eureka.VoleEurekaApplicationTests] StartupInfoLogger.java:61 - Started VoleEurekaApplicationTests in 11.296 seconds (JVM running for 12.957)
2019-11-16 12:53:37,502 [Thread-11] INFO  [o.s.c.netflix.eureka.server.EurekaServerBootstrap] EurekaServerBootstrap.java:188 - isAws returned false
2019-11-16 12:53:37,503 [Thread-11] INFO  [o.s.c.netflix.eureka.server.EurekaServerBootstrap] EurekaServerBootstrap.java:153 - Initialized server context
2019-11-16 12:53:37,504 [Thread-11] INFO  [c.n.eureka.registry.PeerAwareInstanceRegistryImpl] PeerAwareInstanceRegistryImpl.java:241 - Got 1 instances from neighboring DS node
2019-11-16 12:53:37,504 [Thread-11] INFO  [c.n.eureka.registry.PeerAwareInstanceRegistryImpl] PeerAwareInstanceRegistryImpl.java:242 - Renew threshold is: 1
2019-11-16 12:53:37,504 [Thread-11] INFO  [c.n.eureka.registry.PeerAwareInstanceRegistryImpl] PeerAwareInstanceRegistryImpl.java:253 - Changing status to UP
2019-11-16 12:53:37,516 [Thread-11] INFO  [o.s.c.n.e.s.EurekaServerInitializerConfiguration] EurekaServerInitializerConfiguration.java:72 - Started Eureka Server
2019-11-16 12:53:37,996 [SpringContextShutdownHook] INFO  [o.s.c.n.e.serviceregistry.EurekaServiceRegistry] EurekaServiceRegistry.java:65 - Unregistering application VOLE-EUREKA-SERVER with eureka with status DOWN
2019-11-16 12:53:37,998 [SpringContextShutdownHook] INFO  [com.netflix.eureka.DefaultEurekaServerContext] DefaultEurekaServerContext.java:76 - Shutting down ...
2019-11-16 12:53:38,011 [SpringContextShutdownHook] INFO  [com.netflix.eureka.DefaultEurekaServerContext] DefaultEurekaServerContext.java:79 - Shut down
2019-11-16 12:53:38,015 [SpringContextShutdownHook] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:208 - Shutting down ExecutorService 'applicationTaskExecutor'
2019-11-16 12:53:38,020 [SpringContextShutdownHook] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:906 - Shutting down DiscoveryClient ...
2019-11-16 12:53:38,020 [SpringContextShutdownHook] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:929 - Completed shut down of DiscoveryClient
2019-11-16 13:03:18,057 [main] INFO  [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] PostProcessorRegistrationDelegate.java:330 - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$81ff39b3] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-16 13:03:18,726 [main] INFO  [com.flyer.xcloud.eureka.VoleEurekaApplicationTests] SpringApplication.java:651 - No active profile set, falling back to default profiles: default
2019-11-16 13:03:19,571 [main] WARN  [o.springframework.boot.actuate.endpoint.EndpointId] EndpointId.java:155 - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2019-11-16 13:03:19,763 [main] INFO  [o.springframework.cloud.context.scope.GenericScope] GenericScope.java:295 - BeanFactory id=95090313-24c0-3d14-b754-44025eabc478
2019-11-16 13:03:20,104 [main] INFO  [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] PostProcessorRegistrationDelegate.java:330 - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$81ff39b3] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-16 13:03:20,374 [main] WARN  [com.netflix.config.sources.URLConfigurationSource] URLConfigurationSource.java:121 - No URLs will be polled as dynamic configuration sources.
2019-11-16 13:03:20,374 [main] INFO  [com.netflix.config.sources.URLConfigurationSource] URLConfigurationSource.java:122 - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-11-16 13:03:20,381 [main] WARN  [com.netflix.config.sources.URLConfigurationSource] URLConfigurationSource.java:121 - No URLs will be polled as dynamic configuration sources.
2019-11-16 13:03:20,381 [main] INFO  [com.netflix.config.sources.URLConfigurationSource] URLConfigurationSource.java:122 - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-11-16 13:03:21,117 [main] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:171 - Initializing ExecutorService 'applicationTaskExecutor'
2019-11-16 13:03:23,354 [main] WARN  [o.s.c.l.c.BlockingLoadBalancerClientAutoConfiguration$BlockingLoadBalancerClientRibbonWarnLogger] BlockingLoadBalancerClientAutoConfiguration.java:104 - You already have RibbonLoadBalancerClient on your classpath. It will be used by default. As Spring Cloud Ribbon is in maintenance mode. We recommend switching to BlockingLoadBalancerClient instead. In order to use it, set the value of `spring.cloud.loadbalancer.ribbon.enabled` to `false` or remove spring-cloud-starter-netflix-ribbon from your project.
2019-11-16 13:03:23,653 [main] INFO  [o.s.cloud.netflix.eureka.InstanceInfoFactory] InstanceInfoFactory.java:72 - Setting initial instance status as: STARTING
2019-11-16 13:03:23,699 [main] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:365 - Initializing Eureka in region us-east-1
2019-11-16 13:03:23,700 [main] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:368 - Client configured to neither register nor query for data.
2019-11-16 13:03:23,716 [main] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:381 - Discovery Client initialized at timestamp 1573880603715 with initial instances count: 0
2019-11-16 13:03:23,793 [main] INFO  [com.netflix.eureka.DefaultEurekaServerContext] DefaultEurekaServerContext.java:63 - Initializing ...
2019-11-16 13:03:23,797 [main] INFO  [com.netflix.eureka.cluster.PeerEurekaNodes] PeerEurekaNodes.java:187 - Adding new peer nodes [http://vole-eureka:-1/eureka/]
2019-11-16 13:03:24,620 [main] INFO  [c.n.discovery.provider.DiscoveryJerseyProvider] DiscoveryJerseyProvider.java:70 - Using JSON encoding codec LegacyJacksonJson
2019-11-16 13:03:24,622 [main] INFO  [c.n.discovery.provider.DiscoveryJerseyProvider] DiscoveryJerseyProvider.java:71 - Using JSON decoding codec LegacyJacksonJson
2019-11-16 13:03:24,622 [main] INFO  [c.n.discovery.provider.DiscoveryJerseyProvider] DiscoveryJerseyProvider.java:80 - Using XML encoding codec XStreamXml
2019-11-16 13:03:24,623 [main] INFO  [c.n.discovery.provider.DiscoveryJerseyProvider] DiscoveryJerseyProvider.java:81 - Using XML decoding codec XStreamXml
2019-11-16 13:03:24,848 [main] INFO  [com.netflix.eureka.cluster.PeerEurekaNodes] PeerEurekaNodes.java:109 - Replica node URL:  http://vole-eureka:-1/eureka/
2019-11-16 13:03:24,859 [main] INFO  [c.netflix.eureka.registry.AbstractInstanceRegistry] AbstractInstanceRegistry.java:151 - Finished initializing remote region registries. All known remote regions: []
2019-11-16 13:03:24,860 [main] INFO  [com.netflix.eureka.DefaultEurekaServerContext] DefaultEurekaServerContext.java:70 - Initialized
2019-11-16 13:03:25,083 [main] INFO  [o.s.b.actuate.endpoint.web.EndpointLinksResolver] EndpointLinksResolver.java:58 - Exposing 2 endpoint(s) beneath base path '/actuator'
2019-11-16 13:03:25,146 [Thread-11] INFO  [o.s.c.netflix.eureka.server.EurekaServerBootstrap] EurekaServerBootstrap.java:110 - Setting the eureka configuration..
2019-11-16 13:03:25,147 [Thread-11] INFO  [o.s.c.netflix.eureka.server.EurekaServerBootstrap] EurekaServerBootstrap.java:115 - Eureka data center value eureka.datacenter is not set, defaulting to default
2019-11-16 13:03:25,147 [Thread-11] INFO  [o.s.c.netflix.eureka.server.EurekaServerBootstrap] EurekaServerBootstrap.java:129 - Eureka environment value eureka.environment is not set, defaulting to test
2019-11-16 13:03:25,167 [Thread-11] INFO  [o.s.c.netflix.eureka.server.EurekaServerBootstrap] EurekaServerBootstrap.java:188 - isAws returned false
2019-11-16 13:03:25,168 [Thread-11] INFO  [o.s.c.netflix.eureka.server.EurekaServerBootstrap] EurekaServerBootstrap.java:153 - Initialized server context
2019-11-16 13:03:25,168 [Thread-11] INFO  [c.n.eureka.registry.PeerAwareInstanceRegistryImpl] PeerAwareInstanceRegistryImpl.java:241 - Got 1 instances from neighboring DS node
2019-11-16 13:03:25,168 [Thread-11] INFO  [c.n.eureka.registry.PeerAwareInstanceRegistryImpl] PeerAwareInstanceRegistryImpl.java:242 - Renew threshold is: 1
2019-11-16 13:03:25,170 [Thread-11] INFO  [c.n.eureka.registry.PeerAwareInstanceRegistryImpl] PeerAwareInstanceRegistryImpl.java:253 - Changing status to UP
2019-11-16 13:03:25,170 [main] INFO  [com.flyer.xcloud.eureka.VoleEurekaApplicationTests] StartupInfoLogger.java:61 - Started VoleEurekaApplicationTests in 8.457 seconds (JVM running for 9.601)
2019-11-16 13:03:25,180 [Thread-11] INFO  [o.s.c.n.e.s.EurekaServerInitializerConfiguration] EurekaServerInitializerConfiguration.java:72 - Started Eureka Server
2019-11-16 13:03:25,492 [SpringContextShutdownHook] INFO  [o.s.c.n.e.serviceregistry.EurekaServiceRegistry] EurekaServiceRegistry.java:65 - Unregistering application VOLE-EUREKA-SERVER with eureka with status DOWN
2019-11-16 13:03:25,495 [SpringContextShutdownHook] INFO  [com.netflix.eureka.DefaultEurekaServerContext] DefaultEurekaServerContext.java:76 - Shutting down ...
2019-11-16 13:03:25,501 [SpringContextShutdownHook] INFO  [com.netflix.eureka.DefaultEurekaServerContext] DefaultEurekaServerContext.java:79 - Shut down
2019-11-16 13:03:25,506 [SpringContextShutdownHook] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:208 - Shutting down ExecutorService 'applicationTaskExecutor'
2019-11-16 13:03:25,509 [SpringContextShutdownHook] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:906 - Shutting down DiscoveryClient ...
2019-11-16 13:03:25,510 [SpringContextShutdownHook] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:929 - Completed shut down of DiscoveryClient
